uniqid,d11,polintr,qb1,qb3_1,qb3_2,qb3_3,qb3_4,qb3_5,qb3_6,qb3_7,d7r,d9b,d10,d15a,d15b,d25,d63,d1,p1,p2,p3,region_denmark
110005583,91,Low,Don't know (SPONTANEOUS),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Widow,"DEN:Upper secondary (in Danish; stx, hhx, htx, hf)",Man,"Retired, unable to work","Employed position, travelling",Large town,The working class of society,5,17 Sep 21,13 - 16 h,2636,DK05 - Nordjylland
110005584,88,Medium,Don't know (SPONTANEOUS),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Widow,"DEN:Upper secondary (in Danish; stx, hhx, htx, hf)",Woman,"Retired, unable to work","Employed position, service job",Large town,The middle class of society,7,17 Sep 21,13 - 16 h,2353,DK05 - Nordjylland
110005585,82,Not at all,Very important,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Widow,"DEN:Upper secondary (in Danish; stx, hhx, htx, hf)",Man,"Retired, unable to work","Owner of a shop, craftsmen, etc.",Small/middle town,The middle class of society,5,17 Sep 21,13 - 16 h,3266,DK03 - Syddanmark
110005586,76,Not at all,Not very important,Not mentioned,Not mentioned,Not mentioned,Not mentioned,"The difficulty some people have accessing the online world (e.g. persons with disabilities, elderly people, those ...)",The difficulty of disconnecting and finding a good online/offline life balance,Not mentioned,(Re)Married,DEN:Short cycle tertiary,Man,"Retired, unable to work",Farmer,Rural area or village,The middle class of society,8,17 Sep 21,13 - 16 h,2408,DK02 - Sjaelland
110005587,37,Strong,Fairly important,Use of personal data and information by companies or public administrations,Not mentioned,Not mentioned,The safety and well-being of children,Not mentioned,Not mentioned,Not mentioned,Single,DEN:Bachelor or equivalent,Man,Student,"Middle management, etc.",Large town,The higher class of society,5,17 Sep 21,13 - 16 h,3022,DK01 - Hovedstaden
110005588,83,Strong,Very important,Use of personal data and information by companies or public administrations,"Cyber-attacks and cybercrime such as theft or abuse of personal data, ransomware (malicious software) or phishing",Not mentioned,The safety and well-being of children,Not mentioned,Not mentioned,Not mentioned,Single,"DEN:Upper secondary (in Danish; stx, hhx, htx, hf)",Woman,"Retired, unable to work","Employed position, at desk",Large town,The working class of society,4,18 Sep 21,8 - 12 h,4125,DK01 - Hovedstaden
110005589,70,Medium,Fairly important,Use of personal data and information by companies or public administrations,Not mentioned,Not mentioned,The safety and well-being of children,Not mentioned,Not mentioned,The environmental impact of digital products and services,Widow,DEN:Short cycle tertiary,Man,"Retired, unable to work","Employed position, service job",Rural area or village,The middle class of society,8,17 Sep 21,8 - 12 h,3120,DK04 - Midtjylland
110005590,55,Medium,Very important,Use of personal data and information by companies or public administrations,"Cyber-attacks and cybercrime such as theft or abuse of personal data, ransomware (malicious software) or phishing",Not mentioned,The safety and well-being of children,Not mentioned,The difficulty of disconnecting and finding a good online/offline life balance,Not mentioned,(Re)Married,DEN:Diploma Degree,Woman,Skilled manual worker,Inap. (not 1 to 4 in d15a),Rural area or village,The middle class of society,4,17 Sep 21,8 - 12 h,2682,DK04 - Midtjylland
110005591,75,Strong,Not very important,Use of personal data and information by companies or public administrations,Not mentioned,Not mentioned,The safety and well-being of children,Not mentioned,Not mentioned,The environmental impact of digital products and services,(Re)Married,"DEN:Upper secondary (in Danish; stx, hhx, htx, hf)",Man,"Retired, unable to work",Skilled manual worker,Rural area or village,The lower middle class of society,5,17 Sep 21,8 - 12 h,2210,DK04 - Midtjylland
110005592,18,Low,Very important,Use of personal data and information by companies or public administrations,Not mentioned,Not mentioned,The safety and well-being of children,Not mentioned,The difficulty of disconnecting and finding a good online/offline life balance,The environmental impact of digital products and services,Single living with a partner,"DEN:Upper secondary (in Danish; stx, hhx, htx, hf)",Woman,Student,"Unskilled manual worker, etc.",Rural area or village,The middle class of society,3,17 Sep 21,13 - 16 h,3252,DK04 - Midtjylland
110005593,30,Strong,Very important,Use of personal data and information by companies or public administrations,"Cyber-attacks and cybercrime such as theft or abuse of personal data, ransomware (malicious software) or phishing",Not mentioned,Not mentioned,"The difficulty some people have accessing the online world (e.g. persons with disabilities, elderly people, those ...)",Not mentioned,The environmental impact of digital products and services,Single,DEN:Master or equivalent,Man,"Unemployed, temporarily not working","Employed position, service job",Large town,The middle class of society,5,20 Sep 21,13 - 16 h,2056,DK01 - Hovedstaden
110005594,29,Medium,Very important,Not mentioned,"Cyber-attacks and cybercrime such as theft or abuse of personal data, ransomware (malicious software) or phishing",Not mentioned,Not mentioned,"The difficulty some people have accessing the online world (e.g. persons with disabilities, elderly people, those ...)",Not mentioned,The environmental impact of digital products and services,Single living with a partner,DEN:Master or equivalent,Man,"Middle management, etc.",Inap. (not 1 to 4 in d15a),Large town,The middle class of society,7,20 Sep 21,13 - 16 h,1356,DK01 - Hovedstaden
110005595,30,Not at all,Very important,Use of personal data and information by companies or public administrations,Not mentioned,Not mentioned,The safety and well-being of children,Not mentioned,Not mentioned,The environmental impact of digital products and services,(Re)Married,DEN:Primary school 8-11 years,Woman,Student,"Unskilled manual worker, etc.",Rural area or village,The middle class of society,5,18 Sep 21,8 - 12 h,1499,DK04 - Midtjylland
110005596,31,Not at all,Very important,Not mentioned,"Cyber-attacks and cybercrime such as theft or abuse of personal data, ransomware (malicious software) or phishing",Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,(Re)Married,DEN:Master or equivalent,Woman,"Unskilled manual worker, etc.",Inap. (not 1 to 4 in d15a),Rural area or village,The lower middle class of society,Refusal (SPONT.),18 Sep 21,8 - 12 h,1954,DK04 - Midtjylland
110005597,66,Low,Not very important,Not mentioned,Not mentioned,Not mentioned,The safety and well-being of children,Not mentioned,Not mentioned,The environmental impact of digital products and services,Single living with a partner,DEN:Short cycle tertiary,Woman,"Retired, unable to work",Skilled manual worker,Rural area or village,The middle class of society,8,18 Sep 21,8 - 12 h,2525,DK04 - Midtjylland
110005598,35,Low,Very important,Not mentioned,"Cyber-attacks and cybercrime such as theft or abuse of personal data, ransomware (malicious software) or phishing",Not mentioned,The safety and well-being of children,Not mentioned,The difficulty of disconnecting and finding a good online/offline life balance,The environmental impact of digital products and services,Divorced or separated,DEN:Bachelor or equivalent,Woman,"Employed position, service job",Inap. (not 1 to 4 in d15a),Rural area or village,The middle class of society,7,18 Sep 21,8 - 12 h,2659,DK04 - Midtjylland
110005599,36,Medium,Very important,Use of personal data and information by companies or public administrations,"Cyber-attacks and cybercrime such as theft or abuse of personal data, ransomware (malicious software) or phishing",Not mentioned,The safety and well-being of children,Not mentioned,Not mentioned,Not mentioned,(Re)Married,DEN:Diploma Degree,Woman,"Employed position, service job",Inap. (not 1 to 4 in d15a),Rural area or village,The working class of society,4,18 Sep 21,8 - 12 h,2003,DK04 - Midtjylland
110005600,41,Strong,Fairly important,Not mentioned,"Cyber-attacks and cybercrime such as theft or abuse of personal data, ransomware (malicious software) or phishing",Not mentioned,The safety and well-being of children,Not mentioned,The difficulty of disconnecting and finding a good online/offline life balance,The environmental impact of digital products and services,(Re)Married,DEN:Master or equivalent,Man,Skilled manual worker,Inap. (not 1 to 4 in d15a),Rural area or village,The middle class of society,3,18 Sep 21,13 - 16 h,2448,DK04 - Midtjylland
110005601,51,Strong,Very important,Use of personal data and information by companies or public administrations,"Cyber-attacks and cybercrime such as theft or abuse of personal data, ransomware (malicious software) or phishing",Not mentioned,The safety and well-being of children,Not mentioned,The difficulty of disconnecting and finding a good online/offline life balance,Not mentioned,(Re)Married,"DEN:Upper secondary (in Danish; stx, hhx, htx, hf)",Woman,"Employed position, travelling",Inap. (not 1 to 4 in d15a),Rural area or village,The middle class of society,3,18 Sep 21,13 - 16 h,2199,DK04 - Midtjylland
110005602,45,Medium,Very important,Use of personal data and information by companies or public administrations,"Cyber-attacks and cybercrime such as theft or abuse of personal data, ransomware (malicious software) or phishing",Not mentioned,The safety and well-being of children,Not mentioned,The difficulty of disconnecting and finding a good online/offline life balance,Not mentioned,Divorced or separated,DEN:Bachelor or equivalent,Man,"Middle management, etc.",Inap. (not 1 to 4 in d15a),Rural area or village,The middle class of society,7,18 Sep 21,13 - 16 h,2777,DK04 - Midtjylland
110005603,50,Strong,Very important,Not mentioned,"Cyber-attacks and cybercrime such as theft or abuse of personal data, ransomware (malicious software) or phishing",Not mentioned,The safety and well-being of children,Not mentioned,The difficulty of disconnecting and finding a good online/offline life balance,The environmental impact of digital products and services,Single living with a partner,DEN:Short cycle tertiary,Woman,"Employed position, service job",Inap. (not 1 to 4 in d15a),Rural area or village,The middle class of society,3,18 Sep 21,13 - 16 h,2531,DK04 - Midtjylland
110005604,64,Strong,Very important,Not mentioned,"Cyber-attacks and cybercrime such as theft or abuse of personal data, ransomware (malicious software) or phishing",Not mentioned,The safety and well-being of children,"The difficulty some people have accessing the online world (e.g. persons with disabilities, elderly people, those ...)",Not mentioned,The environmental impact of digital products and services,Single,DEN:Master or equivalent,Woman,"General management, etc.",Inap. (not 1 to 4 in d15a),Small/middle town,The lower middle class of society,3,18 Sep 21,8 - 12 h,2462,DK01 - Hovedstaden
110005605,78,Strong,Fairly important,Not mentioned,Not mentioned,The difficulty of learning new digital skills in order to take an active part in society (e.g. working or ...),Not mentioned,Not mentioned,Not mentioned,Not mentioned,(Re)Married,DEN:Master or equivalent,Man,"Retired, unable to work","Middle management, etc.",Small/middle town,The middle class of society,2,18 Sep 21,8 - 12 h,3086,DK01 - Hovedstaden
110005606,79,Strong,Very important,Not mentioned,"Cyber-attacks and cybercrime such as theft or abuse of personal data, ransomware (malicious software) or phishing",Not mentioned,The safety and well-being of children,Not mentioned,Not mentioned,Not mentioned,(Re)Married,DEN:Diploma Degree,Man,"Middle management, etc.",Inap. (not 1 to 4 in d15a),Small/middle town,The middle class of society,3,18 Sep 21,13 - 16 h,7200,DK01 - Hovedstaden
110005607,46,Medium,Very important,Use of personal data and information by companies or public administrations,Not mentioned,Not mentioned,The safety and well-being of children,"The difficulty some people have accessing the online world (e.g. persons with disabilities, elderly people, those ...)",The difficulty of disconnecting and finding a good online/offline life balance,Not mentioned,Single living with a partner,DEN:Diploma Degree,Man,"Middle management, etc.",Inap. (not 1 to 4 in d15a),Small/middle town,The middle class of society,9,18 Sep 21,17 - 19 h,2650,DK05 - Nordjylland
110005608,54,Medium,Very important,Use of personal data and information by companies or public administrations,"Cyber-attacks and cybercrime such as theft or abuse of personal data, ransomware (malicious software) or phishing",Not mentioned,Not mentioned,Not mentioned,The difficulty of disconnecting and finding a good online/offline life balance,Not mentioned,(Re)Married,DEN:Diploma Degree,Woman,"Middle management, etc.",Inap. (not 1 to 4 in d15a),Small/middle town,The middle class of society,5,18 Sep 21,8 - 12 h,4796,DK05 - Nordjylland
110005609,48,Strong,Fairly important,Not mentioned,Not mentioned,Not mentioned,The safety and well-being of children,"The difficulty some people have accessing the online world (e.g. persons with disabilities, elderly people, those ...)",The difficulty of disconnecting and finding a good online/offline life balance,Not mentioned,(Re)Married,DEN:Bachelor or equivalent,Man,"Owner of a shop, craftsmen, etc.",Inap. (not 1 to 4 in d15a),Small/middle town,The upper middle class of society,5,18 Sep 21,8 - 12 h,2628,DK05 - Nordjylland
110005610,76,Not at all,Not very important,Not mentioned,Not mentioned,Not mentioned,The safety and well-being of children,Not mentioned,Not mentioned,Not mentioned,(Re)Married,"DEN:Upper secondary (in Danish; stx, hhx, htx, hf)",Man,"Retired, unable to work",Skilled manual worker,Small/middle town,The working class of society,5,18 Sep 21,13 - 16 h,2918,DK05 - Nordjylland
110005611,63,Medium,Fairly important,Use of personal data and information by companies or public administrations,"Cyber-attacks and cybercrime such as theft or abuse of personal data, ransomware (malicious software) or phishing",Not mentioned,The safety and well-being of children,"The difficulty some people have accessing the online world (e.g. persons with disabilities, elderly people, those ...)",Not mentioned,Not mentioned,(Re)Married,DEN:Primary school 8-11 years,Man,"Business proprietors, etc.",Inap. (not 1 to 4 in d15a),Rural area or village,The middle class of society,9,18 Sep 21,8 - 12 h,2832,DK03 - Syddanmark
110005612,57,Medium,Not very important,Not mentioned,Not mentioned,The difficulty of learning new digital skills in order to take an active part in society (e.g. working or ...),Not mentioned,"The difficulty some people have accessing the online world (e.g. persons with disabilities, elderly people, those ...)",The difficulty of disconnecting and finding a good online/offline life balance,The environmental impact of digital products and services,Single living with a partner,DEN:Short cycle tertiary,Woman,"Employed position, service job",Inap. (not 1 to 4 in d15a),Rural area or village,The middle class of society,5,24 Sep 21,13 - 16 h,2920,DK03 - Syddanmark
110005613,84,Medium,Not at all important,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Widow,DEN:Primary school 8-11 years,Woman,"Retired, unable to work",Never did any paid work,Rural area or village,The middle class of society,7,18 Sep 21,13 - 16 h,2835,DK03 - Syddanmark
110005614,67,Medium,Fairly important,Not mentioned,"Cyber-attacks and cybercrime such as theft or abuse of personal data, ransomware (malicious software) or phishing",Not mentioned,The safety and well-being of children,Not mentioned,Not mentioned,Not mentioned,Divorced or separated,DEN:Short cycle tertiary,Woman,"Retired, unable to work",Skilled manual worker,Rural area or village,The middle class of society,Refusal (SPONT.),18 Sep 21,8 - 12 h,2367,DK02 - Sjaelland
110005615,37,Strong,Very important,Use of personal data and information by companies or public administrations,Not mentioned,Not mentioned,The safety and well-being of children,Not mentioned,Not mentioned,The environmental impact of digital products and services,(Re)Married,"DEN:Upper secondary (in Danish; stx, hhx, htx, hf)",Man,"Middle management, etc.",Inap. (not 1 to 4 in d15a),Rural area or village,The upper middle class of society,1 Left,18 Sep 21,13 - 16 h,1755,DK02 - Sjaelland
110005616,78,Strong,Fairly important,Not mentioned,"Cyber-attacks and cybercrime such as theft or abuse of personal data, ransomware (malicious software) or phishing",The difficulty of learning new digital skills in order to take an active part in society (e.g. working or ...),Not mentioned,Not mentioned,Not mentioned,Not mentioned,(Re)Married,DEN:Master or equivalent,Man,"Business proprietors, etc.",Inap. (not 1 to 4 in d15a),Small/middle town,The middle class of society,5,20 Sep 21,17 - 19 h,2392,DK02 - Sjaelland
110005617,42,Strong,Very important,Not mentioned,"Cyber-attacks and cybercrime such as theft or abuse of personal data, ransomware (malicious software) or phishing",Not mentioned,The safety and well-being of children,"The difficulty some people have accessing the online world (e.g. persons with disabilities, elderly people, those ...)",The difficulty of disconnecting and finding a good online/offline life balance,Not mentioned,(Re)Married,DEN:Diploma Degree,Woman,Supervisor,Inap. (not 1 to 4 in d15a),Small/middle town,The upper middle class of society,5,22 Sep 21,8 - 12 h,2005,DK02 - Sjaelland
110005618,66,Strong,Very important,Use of personal data and information by companies or public administrations,"Cyber-attacks and cybercrime such as theft or abuse of personal data, ransomware (malicious software) or phishing",Not mentioned,Not mentioned,"The difficulty some people have accessing the online world (e.g. persons with disabilities, elderly people, those ...)",Not mentioned,Not mentioned,(Re)Married,DEN:Diploma Degree,Man,"Retired, unable to work","Employed position, service job",Small/middle town,The middle class of society,1 Left,18 Sep 21,13 - 16 h,1785,DK02 - Sjaelland
110005619,76,Strong,Fairly important,Not mentioned,Not mentioned,Not mentioned,The safety and well-being of children,Not mentioned,Not mentioned,The environmental impact of digital products and services,(Re)Married,DEN:Short cycle tertiary,Woman,"Retired, unable to work","Middle management, etc.",Small/middle town,The working class of society,5,18 Sep 21,13 - 16 h,1586,DK02 - Sjaelland
110005620,78,Strong,Very important,Not mentioned,"Cyber-attacks and cybercrime such as theft or abuse of personal data, ransomware (malicious software) or phishing",The difficulty of learning new digital skills in order to take an active part in society (e.g. working or ...),Not mentioned,"The difficulty some people have accessing the online world (e.g. persons with disabilities, elderly people, those ...)",The difficulty of disconnecting and finding a good online/offline life balance,Not mentioned,(Re)Married,DEN:Diploma Degree,Man,"Retired, unable to work","Middle management, etc.",Large town,The middle class of society,4,18 Sep 21,8 - 12 h,3936,DK01 - Hovedstaden
110005621,75,Not at all,Fairly important,Not mentioned,"Cyber-attacks and cybercrime such as theft or abuse of personal data, ransomware (malicious software) or phishing",The difficulty of learning new digital skills in order to take an active part in society (e.g. working or ...),The safety and well-being of children,"The difficulty some people have accessing the online world (e.g. persons with disabilities, elderly people, those ...)",Not mentioned,Not mentioned,Widow,DEN:Primary school 8-11 years,Woman,"Retired, unable to work","Employed position, service job",Large town,The working class of society,2,19 Sep 21,8 - 12 h,3446,DK01 - Hovedstaden
110005622,80,Not at all,Very important,Not mentioned,Not mentioned,Not mentioned,Not mentioned,"The difficulty some people have accessing the online world (e.g. persons with disabilities, elderly people, those ...)",Not mentioned,Not mentioned,Widow,DEN:Primary school 8-11 years,Woman,"Retired, unable to work","Employed position, at desk",Large town,The upper middle class of society,6,23 Sep 21,8 - 12 h,4072,DK01 - Hovedstaden
110005623,84,Medium,Very important,Use of personal data and information by companies or public administrations,"Cyber-attacks and cybercrime such as theft or abuse of personal data, ransomware (malicious software) or phishing",The difficulty of learning new digital skills in order to take an active part in society (e.g. working or ...),Not mentioned,Not mentioned,The difficulty of disconnecting and finding a good online/offline life balance,Not mentioned,Widow,DEN:Master or equivalent,Man,"Retired, unable to work","Professional (lawyer, etc.)",Large town,The higher class of society,10 Right,19 Sep 21,8 - 12 h,3913,DK01 - Hovedstaden
110005624,51,Medium,Very important,Not mentioned,"Cyber-attacks and cybercrime such as theft or abuse of personal data, ransomware (malicious software) or phishing",Not mentioned,The safety and well-being of children,Not mentioned,The difficulty of disconnecting and finding a good online/offline life balance,The environmental impact of digital products and services,Single living with a partner,DEN:Bachelor or equivalent,Woman,"Employed professional (employed doctor, etc.)",Inap. (not 1 to 4 in d15a),Rural area or village,The middle class of society,5,18 Sep 21,13 - 16 h,3263,DK04 - Midtjylland
110005625,69,Medium,Not very important,Use of personal data and information by companies or public administrations,"Cyber-attacks and cybercrime such as theft or abuse of personal data, ransomware (malicious software) or phishing",Not mentioned,The safety and well-being of children,Not mentioned,Not mentioned,Not mentioned,Single,DEN:Master or equivalent,Man,"Retired, unable to work",Skilled manual worker,Rural area or village,The working class of society,5,18 Sep 21,13 - 16 h,3300,DK04 - Midtjylland
110005626,73,Low,Fairly important,Use of personal data and information by companies or public administrations,"Cyber-attacks and cybercrime such as theft or abuse of personal data, ransomware (malicious software) or phishing",The difficulty of learning new digital skills in order to take an active part in society (e.g. working or ...),The safety and well-being of children,Not mentioned,Not mentioned,Not mentioned,Single,"DEN:Upper secondary (in Danish; stx, hhx, htx, hf)",Man,"Retired, unable to work",Skilled manual worker,Rural area or village,The middle class of society,8,18 Sep 21,13 - 16 h,5069,DK04 - Midtjylland
110005627,70,Medium,Very important,Not mentioned,"Cyber-attacks and cybercrime such as theft or abuse of personal data, ransomware (malicious software) or phishing",Not mentioned,The safety and well-being of children,"The difficulty some people have accessing the online world (e.g. persons with disabilities, elderly people, those ...)",The difficulty of disconnecting and finding a good online/offline life balance,Not mentioned,(Re)Married,DEN:Primary school 8-11 years,Man,"Retired, unable to work","Unskilled manual worker, etc.",Rural area or village,The middle class of society,7,18 Sep 21,17 - 19 h,6077,DK04 - Midtjylland
110005628,32,Not at all,Very important,Not mentioned,"Cyber-attacks and cybercrime such as theft or abuse of personal data, ransomware (malicious software) or phishing",Not mentioned,The safety and well-being of children,Not mentioned,The difficulty of disconnecting and finding a good online/offline life balance,Not mentioned,(Re)Married,"DEN:Upper secondary (in Danish; stx, hhx, htx, hf)",Woman,"Retired, unable to work",Skilled manual worker,Rural area or village,The middle class of society,DK (SPONT.),23 Sep 21,8 - 12 h,1743,DK04 - Midtjylland
110005629,79,Strong,Not very important,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,The difficulty of disconnecting and finding a good online/offline life balance,Not mentioned,(Re)Married,DEN:Master or equivalent,Man,"Professional (lawyer, etc.)",Inap. (not 1 to 4 in d15a),Rural area or village,The middle class of society,5,19 Sep 21,8 - 12 h,3951,DK03 - Syddanmark
110005630,63,Medium,Not very important,Not mentioned,"Cyber-attacks and cybercrime such as theft or abuse of personal data, ransomware (malicious software) or phishing",The difficulty of learning new digital skills in order to take an active part in society (e.g. working or ...),Not mentioned,"The difficulty some people have accessing the online world (e.g. persons with disabilities, elderly people, those ...)",Not mentioned,Not mentioned,Single,"DEN:Upper secondary (in Danish; stx, hhx, htx, hf)",Man,"Retired, unable to work","Unskilled manual worker, etc.",Rural area or village,The working class of society,2,19 Sep 21,8 - 12 h,2437,DK03 - Syddanmark
110005631,78,Not at all,Not at all important,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Widow,DEN:Primary school 8-11 years,Woman,"Retired, unable to work","Unskilled manual worker, etc.",Rural area or village,The working class of society,3,19 Sep 21,8 - 12 h,2231,DK03 - Syddanmark
110005632,76,Low,Not at all important,Not mentioned,"Cyber-attacks and cybercrime such as theft or abuse of personal data, ransomware (malicious software) or phishing",The difficulty of learning new digital skills in order to take an active part in society (e.g. working or ...),The safety and well-being of children,Not mentioned,Not mentioned,Not mentioned,(Re)Married,"DEN:Upper secondary (in Danish; stx, hhx, htx, hf)",Woman,"Retired, unable to work","Unskilled manual worker, etc.",Rural area or village,The working class of society,3,19 Sep 21,8 - 12 h,2747,DK03 - Syddanmark
110005633,78,Strong,Not at all important,Use of personal data and information by companies or public administrations,"Cyber-attacks and cybercrime such as theft or abuse of personal data, ransomware (malicious software) or phishing",The difficulty of learning new digital skills in order to take an active part in society (e.g. working or ...),Not mentioned,"The difficulty some people have accessing the online world (e.g. persons with disabilities, elderly people, those ...)",Not mentioned,Not mentioned,(Re)Married,DEN:Primary school 8-11 years,Woman,"Retired, unable to work","Unskilled manual worker, etc.",Rural area or village,The working class of society,2,19 Sep 21,13 - 16 h,2807,DK03 - Syddanmark
110005634,80,Not at all,Not at all important,Not mentioned,Not mentioned,Not mentioned,The safety and well-being of children,Not mentioned,Not mentioned,Not mentioned,Widow,DEN:Short cycle tertiary,Woman,Skilled manual worker,Inap. (not 1 to 4 in d15a),Large town,The middle class of society,5,19 Sep 21,8 - 12 h,2150,DK03 - Syddanmark
110005635,68,Not at all,Very important,Not mentioned,"Cyber-attacks and cybercrime such as theft or abuse of personal data, ransomware (malicious software) or phishing",The difficulty of learning new digital skills in order to take an active part in society (e.g. working or ...),The safety and well-being of children,"The difficulty some people have accessing the online world (e.g. persons with disabilities, elderly people, those ...)",Not mentioned,Not mentioned,(Re)Married,"DEN:Upper secondary (in Danish; stx, hhx, htx, hf)",Woman,"Retired, unable to work","Employed position, service job",Large town,The middle class of society,7,19 Sep 21,13 - 16 h,2954,DK03 - Syddanmark
110005636,18,Low,Fairly important,Use of personal data and information by companies or public administrations,"Cyber-attacks and cybercrime such as theft or abuse of personal data, ransomware (malicious software) or phishing",Not mentioned,Not mentioned,Not mentioned,The difficulty of disconnecting and finding a good online/offline life balance,The environmental impact of digital products and services,Single living with a partner,DEN:Primary school 8-11 years,Man,Student,"Unskilled manual worker, etc.",Rural area or village,The lower middle class of society,DK (SPONT.),19 Sep 21,13 - 16 h,2005,DK04 - Midtjylland
110005637,45,Strong,Very important,Not mentioned,"Cyber-attacks and cybercrime such as theft or abuse of personal data, ransomware (malicious software) or phishing",Not mentioned,The safety and well-being of children,Not mentioned,The difficulty of disconnecting and finding a good online/offline life balance,Not mentioned,Single living with a partner,DEN:Short cycle tertiary,Man,Skilled manual worker,Inap. (not 1 to 4 in d15a),Rural area or village,The working class of society,8,19 Sep 21,13 - 16 h,2649,DK04 - Midtjylland
